Pit: Mirage 2000-D, Creator: Laurent Buzzz Buzzi, Version: 1.1, Generated by LODexporter
AFCanopyToggle              -0.91906 -1.205626 -1.496881    80  129   1
AFCanopyToggle              -1.25357 -1.253818 -1.505263    80  129   1
AFDragChute                 -0.93766 1.253519 -1.560071    80  129   1
AFDragChute                 -1.19609 1.259740 -1.586759    80  129   1
SimAntiCollOff              -1.08551 1.784150 -2.870890    35  115   2
SimAntiCollOn               -1.08551 1.784150 -2.870890    35  115   1
SimAuxComBackup             -1.43860 1.576780 -2.725560    35  115   2
SimAuxComUFC                -1.43826 1.576810 -2.725560    35  115   1
SimAVTRSwitchDown           -1.61400 -0.180000 -0.594000    20  126   2
SimAVTRSwitchUp             -1.61400 -0.180000 -0.594000    20  126   1
SimAVTRSwitchUp              1.25587 1.877151 -2.883374    30  126   1
SimAVTRSwitchDown            1.25587 1.877151 -2.883374    30  126   2
SimBupUhfFuncDec            -1.69248 1.628490 -2.749230    35  126   2
SimBupUhfFuncInc            -1.69248 1.628490 -2.749230    35  115   1
SimCATI                     -2.01819 1.292400 -2.402610    40  115   1
SimCATIII                   -2.01744 1.293330 -2.402470    40  115   2
SimCycleBandAuxComDigit     -1.19586 -1.393800 -2.786850    10  125   1		w
SimDecBandAuxComDigit       -1.19586 -1.393800 -2.786850    10  125   2		w
SimCycleBandAuxComDigit     -1.17885 -1.393800 -2.788130    10  125   1		w
SimDecBandAuxComDigit       -1.17885 -1.393800 -2.788130    10  125   2		w
SimDecBandAuxComDigit       -1.15559 -1.393800 -2.789870    10  125   2		w
SimCycleBandAuxComDigit     -1.15559 -1.393800 -2.789870    10  125   1		w
SimCycleCenterAuxComDigit   -1.19586 -1.316290 -2.786850    10  125   1		w
SimDecCenterAuxComDigit     -1.19586 -1.316290 -2.786850    10  125   2		w
SimCycleCenterAuxComDigit   -1.17885 -1.316290 -2.788130    10  125   1		w
SimDecCenterAuxComDigit     -1.17885 -1.316290 -2.788130    10  125   2		w
SimCycleCenterAuxComDigit   -1.15559 -1.316290 -2.789870    10  125   1		w
SimDecCenterAuxComDigit     -1.15559 -1.316290 -2.789870    10  125   2		w
SimCycleLeftAuxComDigit     -1.19586 -1.277780 -2.786850    10  125   1		w
SimDecLeftAuxComDigit       -1.19586 -1.277780 -2.786850    10  125   2		w
SimCycleLeftAuxComDigit     -1.17885 -1.277780 -2.788130    10  125   1		w
SimDecLeftAuxComDigit       -1.17885 -1.277780 -2.788130    10  125   2		w
SimCycleLeftAuxComDigit     -1.15559 -1.277780 -2.789870    10  125   1		w
