2471 90 x 0
2468 71 x 0
438 70 x 46
2690 72 x 0
2220 120 x 1
2060 119 x 2
1027 118 x 3
906 117 x 4
866 116 x 5
212 115 x 6
58 113 x 7
2239 112 x 8
830 111 x 9
408 110 x 10
362 109 x 11
360 108 x 12
353 107 x 13
276 106 x 14
277 105 x 15
447 104 x 16
357 103 x 17
764 102 x 18
766 101 x 19
767 100 x 20
778 99 x 21
814 98 x 22
815 97 x 23
817 96 x 24
818 95 x 25
819 94 x 26
820 93 x 27
825 92 x 28
827 91 x 29
840 89 x 30
843 88 x 31
848 87 x 32
849 86 x 33
851 85 x 34
852 84 x 35
853 83 x 36
858 73 x 37
869 82 x 38
870 81 x 39
872 80 x 40
874 74 x 41
877 79 x 42
882 78 x 43
1676 77 x 44
3095 75 x 45
71 121 x 0
3580 122 x 0
3581 123 x 0
