//"No" "Type" "Tgt Type" "Skill" "Mis Profile" "Tgt Profile" "Tgt Desc" "Route WP Type" "Tgt WP Type" "Tgt Min Alt" "Tgt Max Alt" "Mis Alt" "Separation Time" "Loiter Time" "Mis Strength" "Min Plan Time" "Max Plan Time" "Escort Type" "Min Dist Similar" "Min Time Similar" "Special Capapilities" "Flags"
    0      0          0       0             3             1          0               0            50             0             0         0                 0             0              0               0               0             0                  0                  0                      0   0x0 // AMIS_NONE
    1      1          3       1             2             8          1               0            12           160           230       210                 0            30              2              30              99             0                 35                 30                      0   0x121C2201 // AMIS_BARCAP
    2      2          3       1             2             8          1               0            12           160           240       220                 0            40              2              30              99             0                 35                 30                      0   0x121C2201 // AMIS_BARCAP2
    3      3          2       1             2             8          2              10            12           150           250       210               -60            60              2               0              99             0                  0                  0                      0   0x321C0201 // AMIS_HAVCAP
    4      4          3       1             2             8          3               0            12           150           220       220              -120            30              2              30              99             0                 55                 30                      0   0x32088201 // AMIS_TARCAP
    5      5          3       1             2             8          3              10            12            50           150       120                 0            15              2               0              99             0                  0                  0                      0   0x32088201 // AMIS_RESCORT
    6      6          3       1             1             8          1               0            12             5            20        10                 0            20              2              30              99             0                 55                 30                      0   0x121C2201 // AMIS_AMBUSHCAP
    7      7          3       1             2             6          1              11            11           150           280       250              -180             0              4              30              99             0                 55                 10                      0   0x12000101 // AMIS_SWEEP
    8      8          3       1             2             0          3               0            12            20           200       150                 0             0              2               0              10             0                  1                 30                      0   0x261C0000 // AMIS_ALERT
    9      9          2       1             3             4          3               0            13           150           280       250                 0             0              2               0              99             0                  0                  0                      0   0x2d150000 // AMIS_INTERCEPT
   10     10          2       1             3             7          2              10            10           150           280       250              -120             0              2              10              99             0                  0                  0                      0   0x38028001 // AMIS_ESCORT
   11     11          2       7             3             1          3               0            14           150           250       200                30             0              2              60              99            11                 55                 20                      0   0x10028237 // AMIS_SEADSTRIKE
   12     12          3       7             3             7          2              19            19           150           250       200              -240             0              2               0              99            10                  0                  0                      0   0x38028204 // AMIS_SEADESCORT
   13     13          1       3             3             1          3               0            17           150           250       180                30             0              4              60              99            10                 55                 20                      0   0x1802033F // AMIS_OCASTRIKE
   14     14          1       3             3             1          3               0            17           150           250       180                30             0              2              60              99            10                 55                 20                      0   0x10020333 // AMIS_INTSTRIKE
   15     15          1       3             3             1          3               0            17           150           250       180                30             0              2              60              99            10                 55                 20                      0   0x10020337 // AMIS_STRIKE
