// Side SubType Specific

//////////////////////
// Side 1 = Chinese //
//////////////////////

1	3	2
1	6	1
1	8	1
1	8	2
1	8	3
1	9	1

//////////////////////
// Side 2 = DPRK    //
//////////////////////

2	8	1
2	8	2
2	8	3
2	9	1

//////////////////////
// Side 3 = ROK	 //
//////////////////////

3	6	3
3	7	2
3	8	1
3	8	2
3	8	3
3	9	1

//////////////////////
// Side 4 = Soviet  //
//////////////////////

4	3	1
4	7	1
4	8	1
4	8	2
4	8	3
4	9	1

//////////////////////
// Side 5 = US      //
//////////////////////

5	1	1
5	1	2
5	3	3
5	3	4
5	3	4
5	3	6
5	3	6
5	4	1
5	4	2
5	4	3
5	5	1
5	5	2
5	5	3
5	6	2

