# NAVAIDS FOR KUWAIT THEATER v1.0 - FALCON BMS 4.32
# Jan 2015 by Malcolm Hutcheon
# NOTE: Realistic where possible, otherwise picked at random from a spreadsheet. 
# --- KUWAIT AIRPORTS (3) ---
# 
# AHMED AL JABER AIRBASE
5 087 X 32766 50 1 292500 141500 10830 10850 0 0 0 292500 292500 0 0
# 
# ALI AL SALEM AIRBASE
427 107 X 32766 50 1 389875 118000 0 10890 0 0 0 389875 389875 0 0
# 
# KUWAIT INTERNATIONAL - ILS 16R 34L 16L 34R
4 102 X 32766 200 1 306000 118300 11130 10950 11010 11050 0 306000 306000 0 0
# 
# AL AHSA
405 113 X 32766 50 1 360875 123800 0 11090 0 0 0 360875 360875 0 0
# 
# DHARHAN INTL
401 119 X 32766 50 1 387875 118400 10910 10970 10930 10990 0 387875 387875 0 0
# 
# DOHA
1765 071 X 32766 200 1 385375 118900 11130 10950 11010 11050 0 385375 385375 0 0
# 
# GASSIM
400 112 X 32766 50 1 391375 117700 11010 11010 0 0 0 391375 391375 0 0
# 
# HAFAR AL BATIN
389 083 X 32766 50 1 365375 122900 0 0 0 0 0 365375 365375 0 0
# 
# JUBAIL
396 074 X 32766 25 1 327375 130500 0 109500 0 0 0 327375 327375 0 0
# 
# KING FAHD INTL
399 072 X 32766 50 1 295625 136850 10810 10890 0 0 0 295625 295625 0 0
# 
# KING KHALID MILITARY CITY
392 106 X 32766 50 1 376375 120700 0 10870 0 0 0 376375 376375 0 0
# 
# RAFHA
388 115 X 32766 50 1 315875 132800 0 0 0 0 0 315875 315875 0 0
# 
# RAS MISHAB
390 111 X 32766 50 1 377375 120500 0 11110 0 0 0 377375 377375 0 0
# 
# RAS SAFANIYA
391 073 X 32766 50 1 383875 119200 0 10870 0 0 0 383875 383875 0 0
# 
# ABQAIQ
403 126 X 32766 25 1 292750 137025 0 0 0 0 0 292750 292750 0 0
# 
# RAS TANURA
398 081 X 32766 50 1 371875 121750 0 0 0 0 0 371875 371875 0 0
# 
# KING ABDUL AZIZ MIL ACADEMY
397 082 x 32766 25 1 306125 134100 11010 11190 0 0 0 306125 306125 0 0
# 
# ABU ALI
395 022 X 32766 50 1 346900 126600 0 0 0 0 0 346900 346900 0 0
# 
# AL HASA
404 004 Y 32766 0 1 233800 122800 0 0 0 0 0 233800 233800 0 0
# 
# AL WARIAH
394 005 Y 32766 0 1 233800 122800 0 0 0 0 0 233800 233800 0 0
# 
# AL UDAYLIYAH
408 007 Y 32766 0 1 233800 122800 0 0 0 0 0 233800 233800 0 0
# 
# HAFAR AL ATK
402 006 Y 32766 0 1 233800 122800 0 0 0 0 0 233800 233800 0 0
# 
# SA'AD
407 011 Y 32766 0 1 233800 122800 0 0 0 0 0 233800 233800 0 0
# 
# TANAJIB
393 015 Y 32766 0 1 233800 122800 0 0 0 0 0 233800 233800 0 0
# 
# THUMAMAH
406 016 Y 32766 0 1 233800 122800 0 0 0 0 0 233800 233800 0 0
# 
# UWAYQILAH
